id,name,type,type2,height,weight,ability,ability2,ability3,hp,atk,def,spatk,spdef,spe,gender,mega,mega2
80,slowbro,water,psychic,1.6,78.5,oblivious,own tempo,regenerator,95,75,110,100,80,30,FALSE,TRUE,FALSE
81,magnemite,electric,steel,0.3,6,magnet pull,sturdy,analytic,25,35,70,95,55,45,FALSE,FALSE,FALSE
82,magneton,electric,steel,1,60,magnet pull,sturdy,analytic,50,60,95,120,70,70,FALSE,FALSE,FALSE
83,farfetchd,normal,flying,0.8,15,keen eye,inner focus,defiant,52,90,55,58,62,60,FALSE,FALSE,FALSE
84,doduo,normal,flying,1.4,39.2,run away,early bird,tangled feet,35,85,45,35,35,75,TRUE,FALSE,FALSE
85,dodrio,normal,flying,1.8,85.2,run away,early bird,tangled feet,60,110,70,60,60,110,TRUE,FALSE,FALSE
86,seel,water,null,1.1,90,thick fat,hydration,ice body,65,45,55,45,70,45,FALSE,FALSE,FALSE
87,dewgong,water,ice,1.7,120,thick fat,hydration,ice body,90,70,80,70,95,70,FALSE,FALSE,FALSE
88,grimer,poison,null,0.9,30,stench,sticky hold,poison touch,80,80,50,40,50,25,FALSE,FALSE,FALSE
89,muk,poison,null,1.2,30,stench,sticky hold,poison touch,105,105,75,65,100,50,FALSE,FALSE,FALSE
90,shellder,water,null,0.3,4,shell armor,skill link,overcoat,30,65,100,45,25,40,FALSE,FALSE,FALSE
91,cloyster,water,ice,1.5,132.5,shell armor,skill link,overcoat,50,95,180,85,45,70,FALSE,FALSE,FALSE
92,gastly,ghost,poison,1.3,0.1,levitate,null,null,30,35,30,100,35,80,FALSE,FALSE,FALSE
93,haunter,ghost,poison,1.6,0.1,levitate,null,null,45,50,45,115,55,95,FALSE,FALSE,FALSE
94,gengar,ghost,poison,1.5,40.5,cursed body,null,null,60,65,60,130,75,110,FALSE,TRUE,FALSE
95,onix,rock,ground,8.8,210,rock head,sturdy,weak armor,35,45,160,30,45,70,FALSE,FALSE,FALSE
96,drowzee,psychic,null,1,32.4,insomnia,forewarn,inner focus,60,48,45,43,90,42,FALSE,FALSE,FALSE
97,hypno,psychic,null,1.6,75.6,insomnia,forewarn,inner focus,85,73,70,73,115,67,TRUE,FALSE,FALSE
98,krabby,water,null,0.4,6.5,hyper cutter,shell armor,sheer force,30,105,90,25,25,50,FALSE,FALSE,FALSE
99,kingler,water,null,1.3,60,hyper cutter,shell armor,sheer force,55,130,115,50,50,75,FALSE,FALSE,FALSE
100,voltorb,electric,null,0.5,10.4,soundproof,static,aftermath,40,30,50,55,55,100,FALSE,FALSE,FALSE
101,electrode,electric,null,1.2,66.6,soundproof,static,aftermath,60,50,70,80,80,150,FALSE,FALSE,FALSE
102,exeggcute,grass,psychic,0.4,2.5,chlorophyll,null,harvest,60,40,80,60,45,40,FALSE,FALSE,FALSE
103,exeggutor,grass,psychic,2,120,chlorophyll,null,harvest,95,95,85,125,75,55,FALSE,FALSE,FALSE
104,cubone,ground,null,0.4,6.5,rock head,lightning rod,battle armor,50,50,95,40,50,35,FALSE,FALSE,FALSE
105,marowak,ground,null,1,45,rock head,lightning rod,battle armor,60,80,110,50,80,45,FALSE,FALSE,FALSE
106,hitmonlee,fight,null,1.5,49.8,limber,reckless,unburden,50,120,53,35,110,87,FALSE,FALSE,FALSE
107,hitmonchan,fight,null,1.4,50.2,keen eye,iron fist,inner focus,50,105,79,35,110,76,FALSE,FALSE,FALSE
108,lickitung,normal,null,1.2,65.5,own tempo,oblivious,cloud nine,90,55,75,60,75,30,FALSE,FALSE,FALSE
109,koffing,poison,null,0.6,1,levitate,neutralizing gas,stench,40,65,95,60,45,35,FALSE,FALSE,FALSE
110,weezing,poison,null,1.2,9.5,levitate,neutralizing gas,stench,65,90,120,85,70,60,FALSE,FALSE,FALSE
111,rhyhorn,ground,rock,1,115,lightning rod,rock head,reckless,80,85,95,30,30,25,TRUE,FALSE,FALSE
112,rhydon,ground,rock,1.9,120,lightning rod,rock head,reckless,105,130,120,45,45,40,TRUE,FALSE,FALSE
113,chansey,normal,null,1.1,34.6,natural cure,serene grace,healer,250,5,5,35,105,50,FALSE,FALSE,FALSE
114,tangela,grass,null,1,35,chlorophyll,leaf guard,regenerator,65,55,115,100,40,60,FALSE,FALSE,FALSE
115,kangaskhan,normal,null,2.2,80,early bird,scrappy,inner focus,105,95,80,40,80,90,FALSE,TRUE,FALSE
116,horsea,water,null,0.4,8,swift swim,sniper,damp,30,40,70,70,25,60,FALSE,FALSE,FALSE
117,seadra,water,null,1.2,25,poison point,sniper,damp,55,65,95,95,45,85,FALSE,FALSE,FALSE
118,goldeen,water,null,0.6,15,swift swim,water veil,lightning rod,45,67,60,35,50,63,TRUE,FALSE,FALSE
119,seaking,water,null,1.3,39,swift swim,water veil,lightning rod,80,92,65,65,80,68,TRUE,FALSE,FALSE
120,staryu,water,null,0.8,34.5,illuminate,natural cure,analytic,30,45,55,70,55,85,FALSE,FALSE,FALSE
121,starmie,water,psychic,1.1,80,illuminate,natural cure,analytic,60,75,85,100,85,115,FALSE,FALSE,FALSE
122,mr-mime,psychic,fairy,1.3,54.5,soundproof,filter,technician,40,45,65,100,120,90,FALSE,FALSE,FALSE
123,scyther,bug,flying,1.5,56,swarm,technician,steadfast,70,110,80,55,80,105,TRUE,FALSE,FALSE
124,jynx,ice,psychic,1.4,40.6,oblivious,forewarn,dry skin,65,50,35,115,95,95,FALSE,FALSE,FALSE
125,electabuzz,electric,null,1.1,30,static,null,vital spirit,65,83,57,95,85,105,FALSE,FALSE,FALSE
126,magmar,fire,null,1.3,44.5,flame body,null,vital spirit,65,95,57,100,85,93,FALSE,FALSE,FALSE
127,pinsir,bug,null,1.5,55,hyper cutter,mold breaker,moxie,65,125,100,55,70,85,FALSE,TRUE,FALSE
128,tauros,normal,null,1.4,88.4,intimidate,anger point,sheer force,75,100,95,40,70,110,FALSE,FALSE,FALSE
129,magikarp,water,null,0.9,10,swift swim,null,rattled,20,10,55,15,20,80,TRUE,FALSE,FALSE
130,gyarados,water,flying,6.5,235,intimidate,null,moxie,95,125,79,60,100,81,TRUE,TRUE,FALSE
131,lapras,water,ice,2.5,220,water absorb,shell armor,hydration,130,85,80,85,95,60,FALSE,FALSE,FALSE
132,ditto,normal,null,0.3,4,limber,null,imposter,48,48,48,48,48,48,FALSE,FALSE,FALSE
133,eevee,normal,null,0.3,6.5,run away,adaptability,anticipation,55,55,50,45,65,55,FALSE,FALSE,FALSE
134,vaporeon,water,null,1,29,water absorb,null,hydration,130,65,60,110,95,65,FALSE,FALSE,FALSE
135,jolteon,electric,null,0.8,24.5,volt absorb,null,quick feet,65,65,60,110,95,130,FALSE,FALSE,FALSE
136,flareon,fire,null,0.9,25,flash fire,null,guts,65,130,60,95,110,65,FALSE,FALSE,FALSE
137,porygon,normal,null,0.8,36.5,trace,download,analytic,65,60,70,85,75,40,FALSE,FALSE,FALSE
138,omanyte,rock,water,0.4,7.5,swift swim,shell armor,weak armor,35,40,100,90,55,35,FALSE,FALSE,FALSE
139,omastar,rock,water,1,35,swift swim,shell armor,weak armor,70,60,125,115,70,55,FALSE,FALSE,FALSE
140,kabuto,rock,water,0.5,11.5,swift swim,battle armor,weak armor,30,80,90,55,45,55,FALSE,FALSE,FALSE
141,kabutops,rock,water,1.3,40.5,swift swim,battle armor,weak armor,60,115,105,65,70,80,FALSE,FALSE,FALSE
142,aerodactyl,rock,flying,1.8,59,rock head,pressure,unnerve,80,105,65,60,75,130,FALSE,TRUE,FALSE
143,snorlax,normal,null,2.1,460,immunity,thick fat,gluttony,160,110,65,65,110,30,FALSE,FALSE,FALSE
144,articuno,ice,flying,1.7,55.4,pressure,null,snow cloak,90,85,100,95,125,85,FALSE,FALSE,FALSE
145,zapdos,electric,flying,1.6,52.6,pressure,null,static,90,90,85,125,90,100,FALSE,FALSE,FALSE
146,moltres,fire,flying,2,60,pressure,null,flame body,90,100,90,125,85,90,FALSE,FALSE,FALSE
147,dratini,dragon,null,1.8,3.3,shed skin,null,marvel scale,41,64,45,50,50,50,FALSE,FALSE,FALSE
148,dragonair,dragon,null,4,16.5,shed skin,null,marvel scale,61,84,65,70,70,70,FALSE,FALSE,FALSE
149,dragonite,dragon,flying,2.2,210,inner focus,null,multiscale,91,134,95,100,100,80,FALSE,FALSE,FALSE
150,mewtwo,psychic,null,2,122,pressure,null,unnerve,106,110,90,154,90,130,FALSE,TRUE,TRUE
151,mew,psychic,null,0.4,4,synchronize,null,null,100,100,100,100,100,100,FALSE,FALSE,FALSE
152,venusaur,grass,poison,2.4,155.5,thick fat,null,null,80,100,123,122,120,80,FALSE,TRUE,FALSE
153,charizard,fire,dragon,1.7,110.5,tough claws,null,null,78,130,111,130,85,100,FALSE,TRUE,TRUE
154,charizard,fire,flying,1.7,100.5,drought,null,null,78,104,78,159,115,100,FALSE,TRUE,TRUE
155,blastoise,water,null,1.6,101.1,mega launcher,null,null,79,103,120,135,115,78,FALSE,TRUE,FALSE
156,beedrill,bug,poison,1.4,40.5,adaptability,null,null,65,150,40,15,80,145,FALSE,TRUE,FALSE
157,pidgeot,normal,flying,2.2,50.5,no guard,null,null,83,80,80,135,80,121,FALSE,TRUE,FALSE
158,alakazam,psychic,null,1.2,48,trace,null,null,55,50,65,175,105,150,FALSE,TRUE,FALSE
159,slowbro,water,psychic,2,120,shell armor,null,null,95,75,180,130,80,30,FALSE,TRUE,FALSE
160,gengar,ghost,poison,1.4,40.5,shadow tag,null,null,60,65,80,170,95,130,FALSE,TRUE,FALSE
161,kangaskhan,normal,null,2.2,100,parental bond,null,null,105,125,100,60,100,100,FALSE,TRUE,FALSE
162,pinsir,bug,flying,1.7,59,aerilate,null,null,65,155,120,65,90,105,FALSE,TRUE,FALSE
163,gyarados,water,dark,6.5,305,mold breaker,null,null,95,155,109,70,130,81,FALSE,TRUE,FALSE
164,aerodactyl,rock,flying,2.1,79,tough claws,null,null,80,135,85,70,95,150,FALSE,TRUE,FALSE
165,mewtwo,psychic,fight,2.3,127,steadfast,null,null,106,190,100,154,100,130,FALSE,TRUE,TRUE
166,mewtwo,psychic,null,1.5,33,insomnia,null,null,106,150,70,194,120,140,FALSE,TRUE,TRUE
