id,entries
30,When resting deep in its burrow its barbs always retract. This is proof that it is relaxed.
31,Tough scales cover the sturdy body of this Pokémon. It appears that the scales grow in cycles.
32,Its large ears are always kept upright. If it senses danger it will attack with a poisonous sting.
33,Its horn contains venom. If it stabs an enemy with the horn the impact makes the poison leak out.
34,Its steel-like hide adds to its powerful tackle. Its horns are so hard they can pierce a diamond.
35,Adored for their cute looks and playfulness. They are thought to be rare as they do not appear often.
36,They appear to be very protective of their own world. It is a kind of fairy rarely seen by people.
37,Both its fur and its tails are beautiful. As it grows the tails split and form more tails.
38,According to an enduring legend nine noble saints were united and reincarnated as this Pokémon.
39,Uses its cute round eyes to enrapture its foe. It then sings a pleasing melody that lulls the foe to sleep.
40,Its body is very elastic. By inhaling deeply it can continue to inflate itself without limit.
41,Emits ultrasonic cries while it flies. They act as a sonar used to check for objects in its way.
42,It attacks in a stealthy manner without warning. Its sharp fangs are used to bite and to suck blood.
43,It may be mistaken for a clump of weeds. If you try to yank it out of the ground it shrieks horribly.
44,Smells incredibly foul! However around one out of a thousand people enjoy sniffing its nose-bending stink.
45,Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud.
46,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
47,The bug host is drained of energy by the mushrooms on its back. The mushroom appears to do all the thinking.
48,Its large eyes act as a radar. In a bright place you can see that they are clusters of many tiny eyes.
49,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.
50,It prefers dark places. It spends most of its time underground though it may pop up in caves.
51,A team of triplets that can burrow to a depth of 60 miles. It’s reported that this triggers an earthquake.
52,Appears to be more active at night. It loves round and shiny things. It can’t stop itself from picking them up.
53,The gem in its forehead glows on its own! It walks with all the grace and elegance of a proud queen.
54,Always tormented by headaches. It uses psychic powers but whether it intends to do so is not known.
55,Its long slim limbs end in broad flippers. They are used for swimming gracefully in lakes.
56,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.
57,It stops being angry only when nobody else is around. To view this moment is very difficult.
58,A Pokémon with a friendly nature. However it will bark fiercely at anything invading its territory.
59,A legendary Pokémon in the East. Many people are charmed by the grace and beauty of its running.
60,The direction of the spiral on the belly differs by area. It is more adept at swimming than walking.
61,Under attack it uses its belly spiral to put the foe to sleep. It then makes its escape.
62,Swims powerfully using all the muscles in its body. It can even overtake world-class swimmers.
63,Sleeps 18 hours a day. If it senses danger it will teleport itself to safety even as it sleeps.
64,Many odd things happen if this Pokémon is close by. For example it makes clocks run backward.
65,A Pokémon that can memorize anything. It never forgets what it learns—that’s why this Pokémon is smart.
66,Very powerful in spite of its small size. Its mastery of many types of martial arts makes it very tough.
67,The belt around its waist holds back its energy. Without it this Pokémon would be unstoppable.
68,One arm alone can move mountains. Using all four arms this Pokémon fires off awesome punches.
69,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.
70,When hungry it swallows anything that moves. Its hapless prey is dissolved by strong acids.
71,Lures prey with the sweet aroma of honey. Swallowed whole the prey is dissolved in a day bones and all.
72,It can sometimes be found all dry and shriveled up on a beach. Toss it back into the sea to revive it.
73,Its 80 tentacles can stretch and contract freely. They wrap around prey and weaken it with poison.
74,Commonly found near mountain trails and the like. If you step on one by accident it gets angry.
75,Often seen rolling down mountain trails. Obstacles are just things to roll straight over not avoid.
76,Once it sheds its skin its body turns tender and whitish. Its hide hardens when it’s exposed to air.
77,Capable of jumping incredibly high. Its hooves and sturdy legs absorb the impact of a hard landing.
78,Just loves to run. If it sees something faster than itself it will give chase at top speed.
79,Incredibly slow and sluggish. It is quite content to loll about without worrying about the time.
80,Lives lazily by the sea. If the Shellder on its tail comes off it becomes a Slowpoke again.
81,It is hatched with the ability to defy gravity. It floats while emitting powerful electromagnetic waves.
82,Generates strange radio signals. It raises the temperature by 3.6 degrees Fahrenheit within 3300 feet.
83,They live where reedy plants grow. Farfetch’d are rarely seen so it’s thought their numbers are decreasing.
84,Its short wings make flying difficult. Instead this Pokémon runs at high speed on developed legs.
85,One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies.
86,Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit.
87,Its entire body is a snowy white. Unharmed by even intense cold it swims powerfully in icy waters.
88,Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path.
89,Smells so awful it can cause fainting. Through degeneration of its nose it lost its sense of smell.
90,The shell can withstand any attack. However when it is open the tender body is exposed.
91,For protection it uses its harder-than-diamonds shell. It also shoots spikes from the shell.
92,Said to appear in decrepit deserted buildings. It has no real shape as it appears to be made of a gas.
93,By licking it saps the victim’s life. It causes shaking that won’t stop until the victim’s demise.
94,A Gengar is close by if you feel a sudden chill. It may be trying to lay a curse on you.
95,Burrows at high speed in search of food. The tunnels it leaves are used as homes by Diglett.
96,If you sleep by it all the time it will sometimes show you dreams it had eaten in the past.
97,Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum.
98,Its pincers are superb weapons. They sometimes break off during battle but they grow back fast.
99,One claw grew massively and is as hard as steel. It has 10000-horsepower strength. However it is too heavy.
100,It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.
101,Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion.
102,The heads attract each other and spin around. There must be six heads for it to maintain balance.
103,Its cries are very noisy. This is because each of the three heads thinks about whatever it likes.
104,Wears the skull of its deceased mother. Its cries echo inside the skull and come out as a sad melody.
105,Small and weak this Pokémon is adept with its bone club. It has grown more vicious over the ages.
106,When kicking the sole of its foot turns as hard as a diamond on impact and destroys its enemy.
107,Punches in corkscrew fashion. It can punch its way through a concrete wall like a drill.
108,Its tongue spans almost seven feet and moves more freely than its forelegs. Its licks can cause paralysis.
109,In hot places its internal gases could expand and explode without any warning. Be very careful!
110,This Pokémon lives and grows by absorbing poison gas dust and germs that exist inside garbage.
111,A Pokémon with a one-track mind. Once it charges it won’t stop running until it falls asleep.
112,Its brain developed when it began walking on its hind legs. Its armor-like hide even repels molten lava.
113,A gentle and kindhearted Pokémon that shares its nutritious eggs if it sees an injured Pokémon.
114,Its identity is obscured by masses of thick blue vines. The vines are said to never stop growing.
115,Raises its young in its belly pouch. Won’t run from any fight to keep its young protected.
116,If it senses any danger it will vigorously spray water or a special type of ink from its mouth.
117,Touching the back fin causes numbness. It hooks its tail to coral to stay in place while sleeping.
118,When it is time for them to lay eggs they can be seen swimming up rivers and falls in large groups.
119,It is the male’s job to make a nest by carving out boulders in a stream using the horn on its head.
120,As long as the center section is unharmed this Pokémon can grow back fully even if it is chopped to bits.
121,The center section is named the core. People think it is communicating when it glows in seven colors.
122,Always practices its pantomime act. It makes enemies believe something exists that really doesn’t.
123,Leaps out of tall grass and slices prey with its scythes. The movement looks like that of a ninja.
124,Appears to move to a rhythm of its own as if it were dancing. It wiggles its hips as it walks.
125,If a major power outage occurs it is certain that this Pokémon has eaten electricity at a power plant.
126,Born in an active volcano. Its body is always cloaked in flames so it looks like a big ball of fire.
127,Grips its prey in its pincers and squeezes hard! It can’t move if it’s cold so it lives in warm places.
128,A rowdy Pokémon with a lot of stamina. Once running it won’t stop until it hits something.
129,Famous for being very unreliable. It can be found swimming in seas lakes rivers and shallow puddles.
130,Brutally vicious and enormously destructive. Known for totally destroying cities in ancient times.
131,A gentle soul that can understand human speech. It can ferry people across the sea on its back.
132,When it spots an enemy its body transfigures into an almost-perfect copy of its opponent.
133,It can evolve into a variety of forms. Eevee’s genes are the key to solving the mysteries of Pokémon evolution.
134,Its cell structure is similar to water molecules. It melts into the water and becomes invisible.
135,A sensitive Pokémon that easily becomes sad or angry. Every time its mood changes it charges power.
136,It has a flame chamber inside its body. It inhales then breathes out fire that is over 3000 degrees Fahrenheit.
137,The only Pokémon that people anticipate can fly into space. None has managed the feat yet however.
138,An ancient Pokémon that was recovered from a fossil. It swam by cleverly twisting its 10 tentacles about.
139,Its sharp beak rings its mouth. Its shell was too big for it to move freely so it became extinct.
140,A Pokémon that was recovered from a fossil. It used the eyes on its back while hiding on the seafloor.
141,A slim and fast swimmer. It sliced its prey with its sharp sickles and drank the body fluids.
142,A savage Pokémon that died out in ancient times. It was resurrected using DNA taken from amber.
143,Will eat anything even if the food happens to be a little moldy. It never gets an upset stomach.
144,A legendary bird Pokémon. It freezes water that is contained in winter air and makes it snow.
145,This legendary bird Pokémon is said to appear when the sky turns dark and lightning showers down.
146,A legendary bird Pokémon. As it flaps its flaming wings even the night sky will turn red.
147,Long thought to be a myth this Pokémon’s existence was only recently confirmed by a fisherman who caught one.
148,According to a witness its body was surrounded by a strange aura that gave it a mystical look.
149,It is said that this Pokémon lives somewhere in the sea and that it flies. However these are only rumors.
150,Its DNA is almost the same as Mew’s. However its size and disposition are vastly different.
151,When viewed through a microscope this Pokémon’s short fine delicate hair can be seen.
152,In order to support its flower which has grown larger due to Mega Evolution its back and legs have become stronger.
153,The overwhelming power that fills its entire body causes it to turn black and create intense blue flames.
154,Its bond with its Trainer is the source of its power. It boasts speed and maneuverability greater than that of a jet fighter.
155,The cannon on its back is as powerful as a tank gun. Its tough legs and back enable it to withstand the recoil from firing the cannon.
156,Its legs have become poison stingers. It stabs its prey repeatedly with the stingers on its limbs dealing the final blow with the stinger on its rear.
157,With its muscular strength now greatly increased it can fly continuously for two weeks without resting.
158,It’s adept at precognition. When attacks completely miss Alakazam that’s because it’s seeing the future.
159,Under the influence of Shellder’s digestive fluids Slowpoke has awakened gaining a great deal of power—and a little motivation to boot.
160,It can pass through other dimensions and can appear anywhere. It caused a stir one time when it stuck just one leg out of a wall.
161,Its child has grown rapidly thanks to the energy of Mega Evolution. Mother and child show their harmonious teamwork in battle.
162,With its vaunted horns it can lift an opponent 10 times heavier than itself and fly about with ease.
163,Although it obeys its instinctive drive to destroy everything within its reach it will respond to orders from a Trainer it truly trusts.
164,The power of Mega Evolution has completely restored its genes. The rocks on its body are harder than diamond.
165,Psychic power has augmented its muscles. It has a grip strength of one ton and can sprint a hundred meters in two seconds flat!
166,Despite its diminished size its mental power has grown phenomenally. With a mere thought it can smash a skyscraper to smithereens.
